Year Month Day Hour Minute Second VelocityE VelocityN VelocityU StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage Speed Direction 
2015 11 05 11 00 00    0.13   -0.17    0.01   0.1   0.1   0.1  12.9  24.1  21.1  65  91  84  35  35  35  120.6   0.0   0.0  0.8  0.0  0.1  26.31     0.0000    0.000  10.0    0.21   142.6
2015 11 05 11 15 00   -0.37    0.11    0.62   7.4   5.3   9.1   3.9  11.2   9.0  44  61  56  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.39     0.0000    0.000  10.0    0.39   286.6
2015 11 05 11 30 00    0.60   -0.52   -0.36  15.1  10.8  18.1   2.6   8.2   6.0  41  54  49  35  35  35  120.7   0.0   0.0  1.6  0.0  0.1  26.47     0.0000    0.000  10.0    0.79   130.9
2015 11 05 11 45 00    0.56   -0.69   -0.32  21.8  15.5  25.5   3.0   9.5   6.9  42  57  51  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.55     0.0000    0.000  10.0    0.89   140.9
2015 11 05 12 00 00    3.38   -2.54   -6.01  13.5   9.7  25.5   2.6   9.0   6.0  41  56  49  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.74     0.0000    0.000  10.0    4.23   126.9
2015 11 05 12 15 00   -1.58    1.05    2.07  11.2   8.1  13.8   3.0   9.5   6.5  42  57  50  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.79     0.0000    0.000  10.0    1.90   303.6
2015 11 05 12 30 00   -4.29    2.93    5.33  21.5  15.4  25.5   3.0  10.3   7.3  42  59  52  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.84     0.0000    0.000  10.0    5.20   304.3
2015 11 05 12 45 00    1.25   -1.05   -1.43  11.5   8.3  14.2   1.7   6.0   4.3  39  49  45  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.83     0.0000    0.000  10.0    1.63   130.0
2015 11 05 13 00 00   -0.61    0.37    0.63  11.3   8.1  14.1   3.0   7.3   7.3  42  52  52  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.91     0.0000    0.000  10.0    0.71   301.2
2015 11 05 13 15 00   -1.30    0.66    4.13  25.5  22.6  25.5   1.7   5.6   4.3  39  48  45  35  35  35  120.7   0.0   0.0  2.4  0.0  0.1  26.90     0.0000    0.000  10.0    1.46   296.9
